,body,label
0,Both 13 MP and 5MP Camera quality is good. Have lot of pre installed apps. But can be uninstalled if not required. Overall good performance . I am using Asus zenfone max and according to me far better than Asus except Camera quality. It comes in 5000 mah battery and one can't get a better option at this price range. Go for it. It's really goodAfter one week useEdit:- please don't buy this phone. It hangs a lot and sometimes there is problem in touch screen.,1
1,"Excellent mobile for daily use @7500/-. Don't belive in negative reviews at all. If course the product parts made in China, entire assembly, software all are of India. Even this mobile have no bloat ware or Chinese apps and it's 3gb variant is excellent and black colour looks great.Camera is good at it's price range and has autofocus and AI potrait feature.Regarding battery is really huge and with normal daily usage it lasts for about 24 hrs as of my experience. With heavy usage and gaming it lasts for 7-10 hrs.Regarding gaming, since it has gaming processor helio G25 (equal to Snapdragon 625), and it's hyperdrive technology, no lag in gaming and better network connectivity makes games more aweful.Overall product is excellent at it's price range.",1
2,If you are looking for low budget phone this can be a good choice for you.If you wanna android phone just for day to day work then it's really good.On playing heavy games it will hange obviously. Camera is fine at this range. When you start your new device it take some time but later it will work smoothly.Phone is light weight with a good look,0
3,"If I started to rating it's all features, it will as followed (Out of 5 🌟):Processor ⭐⭐⭐⭐Display ⭐ ⭐⭐⭐⭐Battery ⭐⭐⭐⭐⭐Sound in loud ⭐⭐⭐Sound in 3.5 mm cord ⭐⭐⭐⭐⭐Camera Selfie ⭐⭐⭐Camera Back ⭐⭐⭐⭐Networking ⭐⭐⭐⭐⭐Lack:There is no Fingers print sensor locked.There is no Back cover in the box.Camera quality not so good.",0
4,Battery is getting drained out quite fast. 7% in an hr. with half an hr of usage. Camera is also poor. Charging is very slow that was known though. First point is troubling!,0
5,Worst phone.. overall performance is just bakwaz....don't buy...always hangs,-1
6,"I purchased it for my Mother, Decent product in this price range.* Looks beautiful and elegant.*Initial Performance is good for a normal user and clipped to be alright for everday use. not recommended for gamers.*  Front and back cameras are avarage and good in this price range. AI based potrate mode works fine. In this price range this is fine so far.* Bigger display and fairly decent and good enough for videos.*Most of the preloaded apps are uninstallabe and storage management is also decent.*Battery is main pro to be highlighted, in this price range 5000mah battery is superb and does it job.*Sound is crisp and clear and call quality is also decent**Main Con : Charger included in the box is not 10W as xiaomi advertised and it is a normal 5W. It make a littlr bit time to juice up 5000 mah battery.",1
7,"Not as good as redmi 8a, no type C , no fast charge, sound is low compared to remi 8a, display is also poor compared to redmi 8a , camera is nonsense. you should by redmi 8a or 8a dual.You can buy this if above are not problematic to you....... As this phone cost 1k lesss then other",0
8,"Review after one-day full usage and 28 days of usage. overall I am very disappointed with this phone. 😞. I never expected such a phone from MI.  Mi is cheating people by providing a low-quality display. If I have an option to return this Phone 📱, definitely I will return.Pros: Battery - Battery backup is a fantastic feature of this phone. One day full use drained only 29% 😀. The phone is too lightweight ☺️ and very handy😄 Not felt any heating issue while charging and after long hours of usage. 😃.Cons :All apps are lagging.Camera - The camera quality is poor, both front and back camera. 😭GPU - Graphics processor PowerVR GE820 can't draw even a single circle properly. 😠😠.High-quality video & image rendering are also unsatisfactory.Processor - Mediatek Helio G25 is processor is not sufficient for this phone. 😥. Not feeling the benefits of 2GHz clock speed.Display - Size of the display is quite good 👍But it has only 267 PPI. Even Redmi 4A (released in Nov 2016) has 296 PPI. 😠Display quality is too poor. 😫 Very cheap quality display.Ignorable Missing features -  No fingerprint sensor. 🥺  No led in front of the display.😰Major Missing features -  No gorilla glass protection 😥If you planning to buy a phone within a low budget you can choose the next segment of phones with HelioG35 or above🤗 with at least above 290 PPI.Considering all factors, this is not a budget phone and Don't Buy.",0
9,"COVID 19 drastically changed everything. Looks display value for the money but performance is very low I haven't installed any single app but phone lags a lot. But in this present situation it is the best phone for online classes. Camera is good, battery is awesome. So decide your choice",1
10,"Compass is not working, showing error as required sensor are not available,And everything is fine.",1
11,Made in china...The country of origin should be mentioned in the description...Returning the Chinese crap,-1
12,Made in China product,0
13,1. Very bad quality mobile2. Poor display quality(looks very cheap)3. Sound is very low4. Cmaera is like 2mp camera5. Performance is very slow(lag while using phone)6. Will get better mobiles with this price.7. Think 100 times before wasting your money on crap8. No pros at all,0
14,"The media could not be loaded.
                



 Cheap & Best phone in this range",1
15,Redmi 9A launched useless phone everTotally waste moneySo please not buying this phone,-1
16,REALME batter than redmi now,0
17,"1. Display is excellent. Colors and sharpness is good.2. Descent cameras according to price.3. In hand feel of phone is good. It's slim and despite 5000 Mah battery, it feels light.4. Battery backup is good. Easily last one day.5. Performance is good according to price. Mediatek G25 does it job well. You can play COD and FREE FIRE easily at low settings.6. Speaker loudness is average but quality is good.7. MIUI 12 experience is amazing. No ads and reduced bloatware.",1
18,Awesome product at low price.Compatible productFast and best batteryLess time more battery chargeAnd does not drain battery.Amazing product,1
19,"Advantage :3GB+32 For Rs. 7498/-With 6.5 Inch & 5000 mah Battery Acceptable.Disadvantage :*No Finger Print Sensor*Front Camera is 5 MP Only, if it's 8 MP & Rear Side 13+5 MP means little acceptable.Over all Ok.",0
20,No finger print....there is vast color difference in picture & actual . there is no matching in SEA BLUE color. piece received with DARK Blue colorotherwise good gadget at this price.,0
21,Quite goodBattery and build quality is betterBut camera and speakers are okok.,0
